news_id,title,content,full_story_link,meneos,clicks,karma,positive_votes,anonymous_votes,negative_votes,category,comments,published_date,user,source,source_link,scraped_date,provincia,comunidad
4038391,Canadá también se replantea la compra de cazas F-35 a Estados Unidos: evaluará modelos diseñados en Europa,"Los cambios en el tablero de las relaciones diplomáticas por parte de Estados Unidos han propiciado que más países aparten al caza de Lockheed Martin. Más información: La cruzada de Elon Musk contra el F-35, el caza icónico de EEUU: de joya de la aviación a querer jubilarlo para usar drones",https://meneame.net/story/canada-tambien-replantea-compra-cazas-f-35-estados-unidos-europa,0,147.0,338,47,23,0,Política y Sociedad,20,2025-03-15 19:00:03,exducados,elespanol.com,https://www.elespanol.com/omicrono/defensa-y-espacio/20250315/canada-replantea-compra-cazas-f-35-unidos-evaluara-modelos-disenados-europa/931406905_0.html,2025-03-15 19:12:42,,
4038374,Las mujeres tuareg construyen un tataram,"Serie de fotografías mostrando la construcción de un tataram tal y como la llevan a cabo los tuaregs sedentarios. Las fotos fueron tomadas entre noviembre y diciembre de 2001, en la zona de la confluencia de los ríos Tamgak y Zakkat.",https://meneame.net/story/mujeres-tuareg-construyen-tataram,0,812.0,406,28,19,0,Entretenimiento y Cultura,8,2025-03-15 18:00:03,Oktarr,maximilien-bruggmann.ch,http://www.maximilien-bruggmann.ch/es/PhotoSearch/?t=Tataram,2025-03-15 19:12:42,,
4038341,Dos turistas alemanes fueron detenidos por semanas y luego expulsados de EE. UU,"Los casos de Jessica Brösche, retenida durante 46 días, y Lucas Sielaff, retenido durante 16, y los relatos del trato brusco que recibieron por parte de los funcionarios de inmigración, han acaparado titulares en Alemania como muestra de lo que podría significar para los viajeros europeos verse atrapados en el lado equivocado de la política de inmigración de la Casa Blanca.",https://meneame.net/story/dos-turistas-alemanes-fueron-detenidos-semanas-luego-expulsados,0,981.0,393,62,65,0,Política y Sociedad,27,2025-03-15 17:35:03,Fartón_Valenciano,nytimes.com,https://www.nytimes.com/es/2025/03/14/espanol/mundo/dos-turistas-alemanes-fueron-detenidos-por-semanas-y-luego-expulsados-de-ee-uu.html,2025-03-15 19:12:42,,
4038312,"Tesla se hunde en Europa, el 94% de los alemanes no compraría un coche de la marca","De acuerdo con una reciente encuesta realizada a más de 100.000 personas, el 94% de los alemanes no compraría un vehículo de Tesla. La marca cada vez tiene peor imagen entre los consumidores debido a las constantes polémicas de su CEO, Elon Musk, cuyas injerencias en la política europea no han sido bien recibidas por la opinión pública. En 2024, las ventas de Tesla en Alemania se desplomaron un 41%, mientras que durante los dos primeros meses de 2025 la situación ha ido incluso a peor, con una estrepitosa caída del 70%.",https://meneame.net/story/tesla-hunde-europa-94-alemanes-no-compraria-coche-marca,0,424.0,387,106,121,0,Política y Sociedad,58,2025-03-15 17:00:02,Grahml,forococheselectricos.com,https://forococheselectricos.com/2025/03/tesla-94-alemanes-no-compraria-coche-de-la-marca.html,2025-03-15 19:12:42,,
4038332,"El europarlamentario Marc Botenga pone en su lugar a un ministro polaco a cuento de Palestina [ENG, FR].",El europarlamentario Marc Botenga regaña al ministro de «asuntos Europeos» polaco —representante del Consejo Europeo en el Parlamento— cuando este se ríe del genocidio en Palestina.,https://meneame.net/story/europarlamentario-marc-botenga-pone-lugar-ministro-polaco-cuenta,0,1211.0,394,77,87,1,Política y Sociedad,14,2025-03-15 16:25:02,quercus_ilex,x.com,https://x.com/BotengaM/status/1900180061199725048?t=pR_p7xZQMPj9y8zsjFSlQQ&s=19,2025-03-15 19:12:42,,
4038295,El gran terremoto de Nápoles enciende todas las alarmas en Europa,"Más allá de los destrozos, este estremecedor terremoto ha encendido las alarmas sobre la actividad en los Campos Flégreos, una caldera volcánica que vive bajo un fenómeno conocido como crisis bradisísmica.  Este proceso ha mostrado signos de intensificación en los últimos meses. La actividad actual es una señal de que el equilibrio del subsuelo está cambiando. La región, densamente poblada, alberga a más de medio millón de personas, muchas de ellas viviendo en edificaciones construidas sin cumplir con normativas de seguridad sísmica.",https://meneame.net/story/gran-terremoto-napoles-enciende-todas-alarmas-europa,0,1618.0,378,50,58,0,Política y Sociedad,29,2025-03-15 15:55:02,tropezon,nationalgeographic.com.es,https://www.nationalgeographic.com.es/ciencia/temblor-que-desperto-a-napoles-mayor-terremoto-40-anos_24472,2025-03-15 19:12:42,,
4038219,Películas de culto: RoboCop,"Vivo o muerto, tú vendrás conmigo"" (...)  Mientras trabajaba en Warner Bros., Edward Neumeier pudo pasearse, en 1981, por el set de rodaje de Blade Runner (1982), y fue allí donde se le ocurrió la idea que daría pie a RoboCop (RoboCop, 1987). Años después, cuando trabajaba como ejecutivo de Universal Pictures, aún seguía a vueltas con su guion. Fue entonces que conoció a Michael Miner, quien visitó su oficina buscando la oportunidad de poder escribir y dirigir sus propias películas. Neumeier le mostró su tratamiento de guión de ""RoboCop"" e...",https://meneame.net/story/peliculas-culto-robocop-1,0,750.0,403,54,27,0,Entretenimiento y Cultura,54,2025-03-15 15:20:02,Deckardio,peliculasdeculto.blogspot.com,https://peliculasdeculto.blogspot.com/2019/12/robocop.html?m=1,2025-03-15 19:12:42,,
4038274,"Ayuso utiliza millones de euros públicos, Telemadrid y el poder político del PP en su cruzada a favor de los toros","Coincidiendo con la crisis de Onetoro TV, que resume las dificultades de sacar réditos a las retransmisiones taurinas, la televisión pública paga 3.102.500 por las de Las Ventas",https://meneame.net/story/euros-publicos-telemadrid-poder-politico-pp-cruzada-favor-toros,0,354.0,399,137,183,2,Política y Sociedad,40,2025-03-15 14:40:03,Esteban_Rosador,elpais.com,https://elpais.com/espana/madrid/2025-03-15/ayuso-utiliza-millones-de-euros-publicos-telemadrid-y-el-poder-politico-del-pp-en-su-cruzada-a-favor-de-los-toros.html,2025-03-15 19:12:42,,
4038331,Jubilada argentina dando la cara por la patria,"Os lo juro se me caen las lágrimas, Argentinos y Argentinas, A las barriadas, joder ....",https://meneame.net/story/jubilada-argentina-dando-cara-patria,0,3063.0,388,94,127,0,Política y Sociedad,113,2025-03-15 14:20:07,vicus.,youtube.com,https://youtube.com/shorts/pTbNyExvI6Y?si=G1PbSRorDkuL6x3x,2025-03-15 19:12:42,,
4038105,Tango para Ilaria,"Ésta es una pieza que escribí en 1997 en la habitación de un hotel de Buenos Aires durante una gira de la Filarmónica de Nueva York por Sudamérica. Un colega y yo habíamos asistido a un espectáculo de tango y, en respuesta a mis comentarios despectivos sobre la calidad de la música, me retó a inventar algo mejor. No sé si era mejor, pero me dio algo que tocar como bis tras mis apariciones como solista durante aquella gira.",https://meneame.net/story/tango-para-ilaria,0,921.0,344,42,28,0,Entretenimiento y Cultura,18,2025-03-15 14:10:02,TooBased,youtube.com,https://www.youtube.com/watch?v=ItZ7x4uqvzw,2025-03-15 19:12:42,,
