news_id,title,content,full_story_link,meneos,clicks,karma,positive_votes,anonymous_votes,negative_votes,category,comments,published_date,user,source,source_link,scraped_date
4034334,Cambridge Analytica. ¿Cómo poner presidentes por internet?,Video de La filmoteca maldita sobre la empresa fundada por Steve Bannon que ha influido en varias campañas electorales.,https://meneame.net/story/cambridge-analitica-como-poner-presidentes,52,190,423,35,17,0,cultura,6,2025-03-05 10:50:02,manbobi,youtube.com,https://www.youtube.com/watch?app=desktop&v=JuBdZnUVj34,2025-03-05 11:07:12
4034371,"Pradas tenía el ES-Alert redactado desde las 18:15, pero no lo envió hasta las 20:11 cuando la gente ya se había ahogado","El mensaje “tardío” y “erróneo” de la DANA que envió la Conselleria de Justicia a las 20:11 minutos del 29 de octubre de 2024, cuando casi las 227 víctimas de la riada estaban ahogadas y con los pulmones llenos de barro, estaba redactado y a la espera del ok de la consellera del ramo, Salomé Pradas, a las 18:15 minutos",https://meneame.net/story/pradas-tenia-alert-redactado-desde-18-15-pero-no-envio-hasta-20,130,390,443,69,61,2,politica,47,2025-03-05 10:25:03,Esteban_Rosador,elplural.com,http://www.elplural.com/sociedad/tribunales/pradas-tenia-es-alert-redactado-18-15-no-envio-hasta-20-11-cuando-gente-habia-ahogado_347718102_amp,2025-03-05 11:07:12
4034403,"Vamos a conseguir Groenlandia de un modo u otro"" y otras 5 frases del discurso de Trump ante el Congreso de EE.UU","""Estados Unidos está de vuelta"". Con esa frase arrancó este martes Donald Trump su primer discurso ante el Congreso desde que regresó a la presidencia de Estados Unidos el 20 de enero. Flanqueado por Mike Johnson, presidente de la Cámara de Representantes, y el vicepresidente J. D. Vance en calidad de presidente del Senado, Trump aprovechó el discurso para exponer las prioridades de su mandato y repasar lo que considera ya logró su gobierno en las primeras seis semanas en el poder.",https://meneame.net/story/vamos-conseguir-groenlandia-modo-otro-otras-5-frases-discurso-ee,99,956,428,48,51,0,politica,57,2025-03-05 10:00:04,Yorga77,bbc.com,https://www.bbc.com/mundo/articles/cy4lnqjyj7yo,2025-03-05 11:07:12
4034337,Aficionados del Madrid tirando cohetes a los vecinos del Bernabéu,Calle Marceliano Santamaría en la previa del Real Madrid - Atlético.,https://meneame.net/story/aficionados-madrid-tirando-cohetes-vecinos-bernabeu,102,2508,422,55,47,10,actualidad,35,2025-03-05 09:55:02,FueraSionistasdeMeneame,x.com,https://x.com/Vettaverso/status/1897053232507339150,2025-03-05 11:07:12
4034335,Si Estados Unidos fuera honesto | Comerciales Honestos,"¿Estás cansado de las miserias de tu país natal? Pues no eres bienvenido en nuestra gloriosa tierra sin nombre. Tu libertad jamás debe limitarse por valores inferiores, y debes vivir en eterna paranoia de que está siendo amenazada al menor inconveniente.",https://meneame.net/story/estados-unidos-fuera-honesto-comerciales-honestos,94,1456,405,52,42,0,ocio,9,2025-03-05 09:25:02,Putirina,youtube.com,https://www.youtube.com/watch?v=JDDuBw6E3Tk,2025-03-05 11:07:12
4034360,Condenado en Zaragoza a seis años de cárcel por violación aunque la víctima confiesa que se lo inventó todo,"El Tribunal Superior de Justicia de Aragón ha confirmado la sentencia a un hombre de origen senegalés que fue condenado a seis años de cárcel por la Audiencia Provincial de Zaragoza por una presunta agresión sexual a una joven en septiembre de 2023. Después de conocerse la sentencia de primera instancia a finales del año pasado, la víctima confesó ante la Policía Nacional que se trataba de una denuncia falsa y que la interpuso “sin pensarlo por los nervios y enfado después de discutir con el acusado tras una relación sexual que fue consentida”.",https://meneame.net/story/condenado-zaragoza-seis-anos-carcel-violacion-aunque-victima,278,1202,389,110,168,3,actualidad,144,2025-03-05 08:40:03,Pip_,aragondigital.es,https://www.aragondigital.es/articulo/sucesos/condenado-zaragoza-seis-anos-carcel-violacion-victima-confiesa-que-invento-todo/20250304220048910216.html,2025-03-05 11:07:12
4034113,Renault y Geely dan una oportunidad al revolucionario motor español que podría salvar la combustión interna,"No es un motor convencional, si no un motor de pistones opuestos, con menos componentes móviles que un motor de pistones, además de más compacto y eficiente. Es capaz de funcionar con todo tipo de combustibles y es tan prometedor que Horse, el fabricante de motores fundado por Renault y Geely, ha decidido explorar su viabilidad.",https://meneame.net/story/renault-geely-dan-oportunidad-revolucionario-motor-espanol,164,2251,456,72,92,2,tecnología,67,2025-03-05 08:00:04,mecheroconluz,diariomotor.com,https://www.diariomotor.com/noticia/renault-geely-futuro-innengine/,2025-03-05 11:07:12
4034313,Héroe anticapitalista hunde los mercados,"“Va a costar que el capitalismo se recupere de esto, las bolsas no se habían visto sacudidas así desde hacía décadas. Ha sido actuar él y los mercados se han venido abajo, es admirable”, ha admitido el griego Yanis Varoufakis en una intervención televisiva.“No habíamos visto nada igual, es un héroe… con él, el injusto sistema actual podría caerse de verdad. Hay esperanza”, explica el economista griego con emoción.",https://meneame.net/story/heroe-anticapitalista-hunde-mercados,183,1719,439,77,106,0,ocio,20,2025-03-05 07:45:02,karakol,elmundotoday.com,https://www.elmundotoday.com/2025/03/heroe-anticapitalista-hunde-los-mercados/,2025-03-05 11:07:12
4034156,"Emergencias traslada a la jueza que el 112 recibió el día de la dana 19.821 llamadas, la mayoría a partir de las 15.00",Es un informe del subdirector general de Emergencias.,https://meneame.net/story/emergencias-traslada-jueza-112-recibio-dia-dana-19-821-llamadas,292,378,343,111,181,1,actualidad,22,2025-03-05 07:05:07,Ratoncolorao,europapress.es,https://www.europapress.es/comunitat-valenciana/noticia-emergencias-traslada-jueza-112-recibio-dia-dana-19821-llamadas-mayoria-partir-1500-20250304135338.html,2025-03-05 11:07:12
4033409,"""El padre"" de PasaPollo gana el certamen de microrelatos de esta semana","""El padre"" de PasaPollo gana el certamen de microrelatos de esta semana",https://meneame.net/story/padre-pasapollo-gana-certamen-microrelatos-esta-semana,116,1652,353,83,33,1,microrelatos,18,2025-03-05 06:10:06,HORAS,revistamercurio.es,https://www.revistamercurio.es/2025/03/02/el-padre/,2025-03-05 11:07:12
